device_name,display_size (inches),display_prot,height (inches),width (inches),depth (inches),weight (grams),os,b_no_of_camera(s),backcam (megapixels),f_no_of_camera(s),frontcam (megapixels),internal (GB),ram (GB),expandable (GB),battery (mAh),chipset,architecture,cores,proc_make,frequency (MHz),gpu,price (INR)
Motorola Moto C 8GB ,5.0,,5.7,2.9,0.3,154.0,"Android OS, v7.0 (Nougat)",1,5,1,2,8.0,1.0,32,2350,MT6737M,Cortex-A53,4.0,Mediatek,1.1,Mali-T720MP2,"5,990"
Motorola Moto G4 Plus ,5.5,Corning Gorilla Glass 3,6.0,3.0,0.3,155.0,"Android OS, v6.0.1 (Marshmallow)",1,16,1,5,32.0,3.0,256,3000,Snapdragon 617,Cortex-A53,8.0,Qualcomm MSM8952,1.5+1.2,Adreno 405,"9,399"
Motorola Moto G6 Plus ,5.5,Corning Gorilla Glass 3,,,,,"Android OS, v8.0 (Oreo)",2,16+13,1,8,64.0,4.0,256,3500,Snapdragon 636,Cortex A53,4.0,Qualcomm,1.9,,25000
Motorola Moto G5 Plus ,5.2,Corning Gorilla Glass 3,5.9,2.9,0.3,155.0,"Android OS, v7.0 (Nougat)",1,12,1,5,16.0,3.0,256,3000,Snapdragon 625,Cortex-A53,8.0,Qualcomm MSM8953,2.0,Adreno 506,"14,999"
Motorola Moto Z2 Play ,5.5,Corning Gorilla Glass 3,6.1,3.0,0.2,145.0,"Android OS, v7.1.1 (Nougat)",1,12,1,5,64.0,4.0,256,3000,Snapdragon 626,Cortex-A53,8.0,Qualcomm MSM8953-Pro,2.2,Adreno 506,"16,144"
Motorola Moto G4 Plus 16GB ,5.5,Corning Gorilla Glass 4,6.0,3.0,0.3,155.0,"Android OS, v6.0.1 (Marshmallow)",1,16,1,5,16.0,2.0,256,3000,Snapdragon 617,Cortex-A53,8.0,Qualcomm MSM8952,1.5+1.2,Adreno 405,"8,999"
Motorola Moto X Style 32GB ,5.7,,6.0,3.0,0.4,179.0,"Android OS, v5.1.1 (Lollipop)",1,21,1,5,32.0,3.0,128,3000,Snapdragon 808,Cortex-A57,6.0,Qualcomm MSM8992,1.8+1.44,Adreno 418,"31,999"
Motorola Droid Maxx ,5.0,,5.4,2.8,0.3,167.0,"Android OS, v4.2 (Jelly Bean)",1,10,1,2,16.0,2.0,0,3500,Snapdragon S4Pro,Krait,2.0,Qualcomm,1.7,Adreno 320,"7,949"
Motorola Moto G4 32GB ,5.5,Corning Gorilla Glass 3,6.0,3.0,0.3,155.0,"Android OS, v6.0 (Marshmallow)",1,13,1,5,32.0,3.0,128,3000,Snapdragon 617,Cortex-A53,8.0,Qualcomm MSM8952 ,1.5+1.2,Adreno 405,"11,999"
Motorola Moto X ,4.7,,5.0,2.5,0.4,130.0,"Android OS, v4.2 (Jelly Bean)",1,10,1,2,16.0,2.0,0,2200,Snapdragon S4 Pro,Krait 300,2.0,Qualcomm MSM8960DT ,1.7,Adreno 320,"12,990"
Motorola Nexus 6 64GB ,5.96,Corning Gorilla Glass 3,6.2,3.2,0.4,184.0,"Android OS, v5.0 (Lollipop)",1,13,1,2,64.0,3.0,0,3220,Snapdragon 805,Krait 450,4.0,Qualcomm,2.7,Adreno 420,"29,999"
Motorola Moto X (2nd Gen) ,5.2,,5.5,2.8,0.3,144.0,"Android OS, v4.4.4 (KitKat)",1,13,1,2,16.0,2.0,0,2300,Snapdragon 801,Krait 400,4.0,Qualcomm MSM8974AC,2.5,Adreno 330,"17,999"
Motorola Moto E ,4.3,,4.9,2.5,0.4,142.0,"Android OS, v4.4.2 (KitKat)",1,5,0,,4.0,1.0,32,1980,Snapdragon 200,Cortex-A7,2.0,Qualcomm,1.2,Adreno 302,"9,999"
Motorola Moto E 4G (2nd Gen) ,4.5,,5.1,2.6,0.4,145.0,"Android OS, v5.0 (Lollipop)",1,5,0,,8.0,1.0,32,2390,,,,,,Adreno 306,"6,799"
