,device_name,display_size (inches),display_prot,height (inches),width (inches),depth (inches),weight (grams),os,b_no_of_camera(s),backcam (megapixels),f_no_of_camera(s),frontcam (megapixels),internal (GB),ram (GB),expandable (GB),battery (mAh),chipset,architecture,cores,proc_make,frequency (MHz),gpu,price (INR)
66,Asus Zenfone 2 ZE551ML (4GB RAM 32GB ROM 2.3 GHz) ,5.5,Corning Gorilla Glass 3,6,3,0.4,170,"Android OS, v5.0 (Lollipop)",1,13,1,5,32,4,256,3000,Atom Z3580,,4,Intel,2.3,PowerVR G6430,9980
67,Asus Zenfone 2 ZE551ML (4GB RAM 64GB ROM 2.3 GHz) ,5.5,,6,3,0.4,170,"Android OS, v5.0 (Lollipop)",1,13,1,5,64,4,128,3000,Intel Atom Z3580,,4,,2.3,PowerVR G6430,21999
68,Asus Zenfone 3 ,5.2,Corning Gorilla Glass 3,6,3,0.3,144,"Android OS, v6.0.1 (Marshmallow)",1,16,1,8,32,3,128,2650,Snapdragon 625,Cortex-A53,8,Qualcomm MSM8953,2,Adreno 506,13499
69,Asus Zenfone 3 Deluxe ,5.7,,,,,,"Android OS, v6.0 (Marshmallow)",1,23,1,8,64,6,128,3000,Snapdragon 820,,4,Qualcomm,2.15,Adreno 530,47999
70,Asus Zenfone 3 Deluxe 256 GB ,5.7,,6.1,3,0.3,170,"Android OS, v6.0 (Marshmallow)",1,23,1,8,256,6,256,3000,Snapdragon 821,Kryo,4,Qualcomm MSM8996,2.1+1.6,Adreno 530,49999
71,Asus Zenfone 3 Laser ,5.5,Corning Gorilla Glass 3,5.8,2.9,0.3,150,"Android OS, v6.0 (Marshmallow)",1,13,1,8,32,4,128,3000,Snapdragon 430,Cortex-A53,8,Qualcomm MSM8937,1.4,Adreno 505,16500
72,Asus Zenfone 3 Max ,5.2,,5.8,2.9,0.3,148,"Android OS, v6.0 (Marshmallow)",1,13,1,5,32,3,Yes,4130,MT6737M,Cortex-A53,8,Mediatek,1.4,Mali-T720 MP2,8299
73,Asus Zenfone 3 Max 3GB RAM ,5.5,,5.9,3,0.3,175,"Android OS, v6.0.1 (Marshmallow)",1,16,1,8,32,3,128,4100,Snapdragon 430,Cortex-A53,8,Qualcomm MSM8937,1.4,Adreno 505,12999
74,Asus Zenfone 3 ZE552KL ,5.5,Corning Gorilla Glass 3,6,3,0.3,155,"Android OS, v6.0 (Marshmallow)",1,16,1,8,64,4,256,3000,Snapdragon 625,Cortex-A53,8,Qualcomm MSM8953,2,Adreno 506,15999
75,Asus Zenfone 3S Max ,5.2,,5.8,2.9,0.3,175,"Android OS, v7.0 (Nougat)",1,13,1,8,32,3,128,5000,MT6750,Cortex A53,8,MediaTek,1.5,Mali-T860 MP2,10599
76,Asus Zenfone 4 A400CXG ,4,,,,,115,"Android OS, v4.3 (Jelly Bean)",1,5,2,0+3,8,1,64,1600,,,2,Intel Atom Z2520,1.2,PowerVR SGX544MP2,6200
77,Asus Zenfone 4 Selfie ,5.5,,6.1,2.9,0.3,158,"Android OS, v7.1.1 (Nougat)",1,13,1,13,32,3,256,3000,Snapdragon 430,Cortex A53,8,Qualcomm,1.3,,8999
78,Asus Zenfone 4 Selfie Dual Camera ,5.5,,,,,158,"Android OS, v7.1.1 (Nougat)",1,16,2,20+8,64,4,256,3000,Snapdragon 430,Cortex A53,8,Qualcomm,1.3,,12999
79,Asus Zenfone 4 Selfie Pro ,5.5,,6,2.9,0.2,145,"Android OS, v7.0 (Nougat)",1,16,2,24+5,64,4,256,3000,Snapdragon 625,Cortex-A53,8,Qualcomm MSM8953,2,Adreno 506,17999
80,Asus Zenfone 5 (16GB) ,5,,5.8,2.8,0.4,145,"Android OS, v4.3 (Jelly Bean)",1,8,1,2,16,2,64,2110,,,2,,2,PowerVR SGX544MP2,5999
81,Asus Zenfone 5 (2018) ,5.7,Corning Gorilla Glass,,,,,"Android OS, v8.0 (Oreo)",2,13+5,1,5,32,3,256,2500,,,8,,,,14990
82,Asus Zenfone 5 (8GB) ,5,,5.8,2.8,0.4,145,"Android OS, v4.3 (Jelly Bean)",1,8,1,2,8,2,64,2110,,,2,,1.6,PowerVR SGX544MP2,5999
83,Asus Zenfone 5Z ,6.2,Corning Gorilla Glass,6,2.9,0.3,155,"Android OS, v8.0 (Oreo)",2,12+8,1,8,64,6,256,3300,Snapdragon 845,Kryo 385,8,Qualcomm,2.7+1.7,Adreno 630,29999
84,Asus Zenfone 5Z 128GB ,6.2,Corning Gorilla Glass,6,2.9,0.3,155,"Android OS, v8.0 (Oreo)",2,12+8,1,8,128,6,256,3300,Snapdragon 845,Kryo 385,8,Qualcomm,2.7+1.7,Adreno 630,32999
85,Asus Zenfone 5Z 256GB ,6.2,Corning Gorilla Glass,6,2.9,0.3,155,"Android OS, v8.0 (Oreo)",2,12+8,1,8,256,8,256,3300,Snapdragon 845,Kryo 385,8,Qualcomm SDM845,2.7+1.7,Adreno 630,36999
86,Asus Zenfone 6 ,6,,6.5,3.3,0.3,196,"Android OS, v4.3 (Jelly Bean)",1,13,1,2,16,2,64,3300,,,2,Intel Atom Z2580,1.6,PowerVR SGX544MP2,8990
87,Asus Zenfone C ,4.5,,5.3,2.6,0.4,150,"Android OS, v4.4.2 (KitKat)",1,5,2,0+3,8,1,64,2100,,,2,,1.2,PowerVR SGX544MP2,6190
88,Asus Zenfone GO 5.0 4G ,5,,,,,135,"Android OS, v4.4 (KitKat)",1,8,1,5,16,2,32,2500,,,4,Qualcomm MSM8916,1.2,,5999
89,Asus Zenfone Go ,5,,5.6,2.8,0.3,135,"Android OS, v5.1 (Lollipop)",1,8,1,2,8,2,64,2070,,Cortex-A7,4,,1.3,Mali-400MP2,4490
90,Asus Zenfone Go 4.5 ,4.5,,5.3,2.6,0.4,133.5,"Android OS, v5.1 (Lollipop)",1,5,2,0+3,8,1,64,1600,,Cortex-A7,4,,1.3,Mali-400MP2,4490
91,Asus Zenfone Go 4.5 LTE (2016) ,4.5,,,,,,"Android OS, v6.0 (Marshmallow)",1,8,1,2,8,1,128,2070,Snapdragon 410,Cortex-A7,4,Qualcomm,1,Adreno 306,4849
92,Asus Zenfone Go 5.0 ,5,,5.6,2.8,0.3,135,"Android OS, v5.1 (Lollipop)",1,8,1,2,16,2,64,2070,,Cortex-A7,4,,1.3,Mali-400MP2,6000
93,Asus Zenfone Go 5.0 LTE ,5,,,,,,"Android OS, v6.0 (Marshmallow)",1,8,1,5,16,2,64,2600,Snapdragon 410,,4,Qualcomm MSM8916,1.2,,5949
94,Asus Zenfone Go 5.5 ,5.5,,5.9,3,0.4,160,"Android OS, v5.1 (Lollipop)",1,13,1,5,32,2,64,3010,Snapdragon 400,Cortex-A7,4,Qualcomm MSM8928,1.6,Adreno 305,5199
95,Asus Zenfone Go ZB452KG (2nd Gen) ,4.5,,5.3,2.6,0.4,125,"Android OS, v5.1 (Lollipop)",1,5,2,0+3,8,1,64,2070,Snapdragon 200,Cortex-A7,4,Qualcomm,1.2,Adreno 302,4450
96,Asus Zenfone Live ,5,,5.5,2.8,0.3,120,"Android OS, v6.0 (Marshmallow)",1,13,1,5,16,2,256,2650,Snapdragon 410,Cortex-A53,4,Qualcomm MSM8916,1.2,Adreno 306,7950
