device_name,display_size (inches),display_prot,height (inches),width (inches),depth (inches),weight (grams),os,b_no_of_camera(s),backcam (megapixels),f_no_of_camera(s),frontcam (megapixels),internal (GB),ram (GB),expandable (GB),battery (mAh),chipset,architecture,cores,proc_make,frequency (MHz),gpu,price (INR)
Asus Zenfone Go 5.5 ,5.5,,5.9,3.0,0.4,160.0,"Android OS, v5.1 (Lollipop)",1,13,1,5,32.0,2.0,64,3010,Snapdragon 400,Cortex-A7,4.0,Qualcomm MSM8928,1.6,Adreno 305,"5,199"
Asus Zenfone 4 Selfie Pro ,5.5,,6.0,2.9,0.2,145.0,"Android OS, v7.0 (Nougat)",1,16,2,24+5,64.0,4.0,256,3000,Snapdragon 625,Cortex-A53,8.0,Qualcomm MSM8953,2.0,Adreno 506,"17,999"
Asus Zenfone 5 (8GB) ,5.0,,5.8,2.8,0.4,145.0,"Android OS, v4.3 (Jelly Bean)",1,8,1,2,8.0,2.0,64,2110,,,2.0,,1.6,PowerVR SGX544MP2,"5,999"
Asus ZenFone 2 ZE500KL 16GB ,5.0,,,,,140.0,,1,13,1,5,16.0,2.0,128,2070,Snapdragon 410,,4.0,Qualcomm,1.2,Adreno 306,"8,890"
Asus Zenfone 3S Max ,5.2,,5.8,2.9,0.3,175.0,"Android OS, v7.0 (Nougat)",1,13,1,8,32.0,3.0,128,5000,MT6750,Cortex A53,8.0,MediaTek,1.5,Mali-T860 MP2,"10,599"
Asus Zenfone 3 Deluxe 256 GB ,5.7,,6.1,3.0,0.3,170.0,"Android OS, v6.0 (Marshmallow)",1,23,1,8,256.0,6.0,256,3000,Snapdragon 821,Kryo,4.0,Qualcomm MSM8996,2.1+1.6,Adreno 530,"49,999"
Asus Zenfone 2 ZE500ML ,5.5,,6.0,3.0,0.4,170.0,"Android OS, v5.0 (Lollipop)",1,13,1,5,16.0,2.0,128,3000,,,4.0,,1.8,PowerVR G6430,"12,999"
Asus ZenFone Selfie ZD551KL 16GB ,5.5,Corning Gorilla Glass 4,6.1,3.0,0.4,170.0,"Android OS, v5.0 (Lollipop)",1,13,1,13,16.0,2.0,256,3000,Snapdragon 615,Cortex-A53,8.0,Qualcomm MSM8939 ,1.5,Adreno 405,"14,999"
Asus Zenfone 2 Laser ZE550KL 3GB RAM ,5.5,Corning Gorilla Glass 4,6.0,3.0,0.4,170.0,"Android OS, v5.0 (Lollipop)",1,13,1,5,16.0,3.0,128,3000,Snapdragon 615,Cortex-A53,8.0,Qualcomm MSM8939,1.5+1.0,Adreno 405,"11,500"
Asus Zenfone 2 ZE550ML ,5.5,,6.0,3.0,0.4,170.0,"Android OS, v5.0 (Lollipop)",1,13,1,5,16.0,2.0,128,3000,,,4.0,,1.8,PowerVR G6430,"8,490"
Asus Zenfone 4 A400CXG ,4.0,,,,,115.0,"Android OS, v4.3 (Jelly Bean)",1,5,2,0+3,8.0,1.0,64,1600,,,2.0,Intel Atom Z2520,1.2,PowerVR SGX544MP2,"6,200"
Asus Zenfone Go 5.0 LTE ,5.0,,,,,,"Android OS, v6.0 (Marshmallow)",1,8,1,5,16.0,2.0,64,2600,Snapdragon 410,,4.0,Qualcomm MSM8916,1.2,,"5,949"
Asus Zenfone Go 5.0 ,5.0,,5.6,2.8,0.3,135.0,"Android OS, v5.1 (Lollipop)",1,8,1,2,16.0,2.0,64,2070,,Cortex-A7,4.0,,1.3,Mali-400MP2,"6,000"
