device_name,display_size (inches),display_prot,height (inches),width (inches),depth (inches),weight (grams),os,b_no_of_camera(s),backcam (megapixels),f_no_of_camera(s),frontcam (megapixels),internal (GB),ram (GB),expandable (GB),battery (mAh),chipset,architecture,cores,proc_make,frequency (MHz),gpu,price (INR)
Intex Aqua Pro ,4.7,,,,,132.0,Android v4.4 (Kitkat),1,8,1,2,4.0,0.5,32,1800,,,4.0,,1.2,,"4,269"
Intex Aqua Q7N ,4.5,,,,,,"Android OS, v5.1 (Lollipop)",1,5,2,0+3,8.0,0.5,32,2000,,Cortex A7,4.0,,1.2,Mali400MP,"4,190"
Intex Aqua Trend Lite ,5.0,,,,,,"Android OS, v6.0 (Marshmallow)",1,5,1,2,8.0,1.0,128,2600,,,4.0,,1.2,,"4,149"
Intex Aqua Virturbo ,4.0,,,,,124.0,"Android OS, v5.1 (Lollipop)",1,5,2,0+3,4.0,0.5,32,2000,,Cortex A7,4.0,Spreadtrum SC7731G,1.2,Mali-400 MP2,"3,999"
Intex Aqua Viturbo ,4.0,,,,,,"Android OS, v5.1 (Lollipop)",1,5,2,0+3,4.0,0.5,32,2000,,,4.0,,1.2, Mali-400MP,"3,999"
Intex Aqua Y2 Power ,4.0,,,,,133.0,"Android OS, v4.4 (Kitkat)",1,5,1,2,4.0,0.5,32,2900,,Cortex A7,4.0,Spreadtrum SC7731,1.2,Mali-400 MP2,"3,990"
Intex Aqua Glory ,4.0,,,,,114.0,"Android OS, v2.3.6 (Gingerbread)",1,3,2,1+3,0.5,0.25,32,1400,,,2.0,,1.0,,"3,890"
Intex Cloud Swing ,4.0,,,,,113.0,"Android OS, v4.4 (Kitkat)",1,0.3,2,0+3,0.5,0.25,32,1400,,Cortex A7,1.0,,1.0,Mali-400 MP,"3,100"
Intex Aqua 4.5 Pro ,5.0,,,,,,"Android OS, v5.1 (Lollipop)",1,2,2,0+3,8.0,1.0,32,1500,,Cortex A7,4.0,,1.3,Mali-400 MP2,"3,099"
Intex Aqua Sense 5.1 ,5.0,,,,,,"Android OS, v5.1 (Lollipop)",1,2,2,0+3,8.0,0.5,32,2500,,Cortex A7,4.0,Spreadtrum SC7731,1.2,Mali-400 MP,"2,999"
Intex Cloud X15 Plus ,3.5,,,,,100.0,"Android OS, v4.4 (Kitkat)",1,2,2,0+3,0.5,0.25,32,1100,,Cortex A7,1.0,,1.0,Mali-400,"2,990"
Intex Aqua V5 ,3.5,,,,,,"Android OS, v4.4 (KitKat)",1,2,2,0+3,0.5,0.25,32,1100mAh,,Cortex A7,1.0,,1.0,Mali-400,"2,989"
Intex Aqua Wave ,4.0,,,,,113.0,"Android OS, v4.4 (KitKat)",1,0.3,2,0+3,0.5,0.25,32,1400,,Cortex A7,1.0,,1.0,Mali-400 MP,"2,949"
Intex Aqua R4 Plus ,4.0,,,,,115.0,"Android OS, v4.2 (Jelly Bean)",1,2,2,0+3,0.5,0.25,32,1380,,,1.0,,1.0,,"2,800"
Intex Cloud Candy ,4.0,,,,,,"Android OS, v4.4 (KitKat)",1,2,2,0+3,0.5,0.5,32,1400,,,1.0,,1.0,,"2,699"
Intex Cloud N4 ,4.0,,,,,,"Android OS, v4.4 (Kitkat)",1,2,2,0+3,0.5,0.25,32,1500,,,1.0,,1.0,,"2,440"
Intex Aqua G2 ,2.8,,,,,,"Android OS, v4.2. (Jelly Bean)",1,0.3,2,0+3,0.5,0.25,16,1100,,Cortex-A5,1.0,,,,"2,390"
Intex Turbo i6 ,2.4,,,,,89.0,,1,0.3,0,,60KB,,32,1150,,,,,,,"2,180"
Intex Turbo Berry ,2.3,,,,,82.0,,1,0.3,0,,,,16,1400,,,,,,,"1,690"
Intex Grand EON ,2.8,,,,,,,1,0.3,0,,,,32,2500,,,,,,,"1,680"
Intex Turbo 2400 ,2.4,,,,,,,1,0.3,0,,,,64,2400,,,,,,,2400
Intex Forca ,2.8,,,,,,,1,0.3,0,,,,32,2400,,,,,,,"1,600"
Intex Hero Plus ,2.4,,,,,,,1,0.3,0,,,,64,1700,,,,,,,"1,499"
Intex Mega 510 ,2.4,,,,,99.0,,1,0.3,0,,0.03125,,32,1800,,,,,,,510
Intex IN-Fabio ,2.4,,,,,,,1,0.3,0,,,,64,2400,,,,,,,"1,474"
Intex Turbo S3 ,2.4,,,,,93.0,,1,0.3,0,,,,64,1750,,,,,,,"1,450"
Intex Blade ,2.4,,,,,73.0,,1,0.3,0,,,,32,950,,,,,,,"1,432"
Intex Mega 1800 ,2.8,,,,,,,1,0.3,0,,,,64,1800,,,,,,,1800
Intex Killer 3 ,2.4,,,,,95.0,,1,0.3,0,,,,32,1800,,,,,,,"1,399"
Intex Turbo S7 ,2.4,,,,,,,1,0.3,0,,,,64,1400,,,,,,,"1,395"
Intex Bar Platinum Dream ,2.4,,,,,73.0,,1,0.3,0,,,,8,1000,,,,,,,"1,389"
Intex Turbo S3 Plus ,2.4,,,,,95.0,,1,0.3,0,,,,64,1750,,,,,,,"1,280"
Intex Turbo Music ,2.4,,,,,,,1,0.3,0,,,,32,1500,,,,,,,"1,270"
Intex Turbo M5 ,2.4,,,,,,,1,0.3,0,,,,32,1450,,,,,,,"1,239"
Intex In-Trif ,2.8,,,,,92.0,,1,0.3,0,,,,64,1000,,,,,,,"1,220"
Intex Turbo S1 Plus ,2.4,,,,,,,1,0.3,0,,,,32,1800,,,,,,,"1,199"
Intex Turbo Selfie Plus ,2.4,,,,,,,1,0.3,,,,,32,1450,,,,,,,"1,199"
Intex Flip X4 ,2.4,,,,,,,1,0.3,0,,,,64,1200,,,,,,,"1,180"
Intex Jazz 2 ,2.4,,,,,,,1,0.3,0,,20KB,,32,1800,,,,,,,"1,166"
Intex Flash P1 ,2.4,,,,,107.0,,1,0.3,0,,,,8,3000,,,,,,,"1,149"
Intex Turbo Ego ,2.4,,,,,70.0,,1,0.3,0,,20KB,,32,950,,,,,,,"1,123"
Intex Eco Plus ,1.8,,,,,,,1,0.3,0,,,,32,800,,,,,,,"1,100"
Intex Eco 105e ,,,,,,64.0,,1,0.3,0,,20KB,,32,800,,,,,,,105
Intex Lions G1 ,2.4,,,,,120.0,,1,0.3,0,,34KB,,64,1450,,,,,,,"1,200"
Intex Turbo 18 ,2.8,,,,,,,1,0.3,2,0+3,,,32,1800,,,,,,,"1,098"
Intex Turbo Selfie 18 ,2.4,,,,,,,1,0.3,0,,,,,1800,,,,,,,"1,095"
Intex Cool I4 ,2.4,,,,,95.0,,1,0.3,0,,,,64,1400,,,,,,,"1,090"
Intex Aqua Trend ,5.0,,5.6,2.8,0.3,158.0,"Android OS, v5.1 (Lollipop)",1,13,1,5,16.0,2.0,32,3000,,Cortex-A53,4.0,Mediatek MT6735,1.3,Mali-T720MP2,"9,000"
Intex Aqua 4G Plus ,5.0,Dragon Trail Glass protection,5.5,2.8,0.3,136.5,"Android OS, v5.0 (Lollipop)",1,13,1,5,16.0,2.0,32,2300,MT6735,Cortex-A53,4.0,Mediatek ,1.3,Mali-T720MP2,"7,499"
Intex Aqua Star 4G ,5.0,,,,,150.0,"Android OS, v5.1 (Lollipop)",1,8,1,2,8.0,1.0,128,2000,,Cortex-A53,4.0,,1.0,Mali-T720 MP1,"7,200"
Intex Aqua Power Plus ,5.0,,5.7,2.8,0.3,156.0,"Android OS, v5.0 (Lollipop)",1,13,1,5,16.0,2.0,32,4000,,Cortex-A7,4.0,Mediatek MT6582M,1.3,Mali-400MP2,"6,830"
Intex Aqua Ace Mini ,5.0,,,,,150.0,"Android OS, v5.1.1 (Lollipop)",1,8,1,5,16.0,2.0,32,3000,,Cortex A53,4.0,MediaTek MT6735P,1.0,Mali-400 MP2,"5,990"
Intex Aqua Power M ,5.0,,,,,160.0,"Android OS, v6.0 (Marshmallow)",1,5,1,2,8.0,1.0,32,4350,,Cortex A7,4.0,MTK6580,1.3,,"5,899"
Intex Aqua Power 4G ,5.0,,,,,,"Android OS, v6.0 (Marshmallow)",1,8,1,2,8.0,1.0,32,3800,,Cortex A53,4.0,,1.0,Mali-T720,"5,695"
Intex Aqua Star II ,5.0,,5.5,2.8,0.3,122.0,"Android OS, v4.4 (KitKat)",1,8,1,5,8.0,1.0,32,2000,,,4.0,Spreadtrum 7731,1.2,Mali-400 MP2,"5,649"
Intex Cloud Tread ,5.0,,,,,,"Android OS, v5.1 (Lollipop)",1,5,1,5,16.0,2.0,32,2200,,,6.0,,1.5,,"5,599"
Intex Aqua Raze ,4.5,,,,,,"Android OS, v5.1 (Lollipop)",1,5,1,2,8.0,1.0,32,1800,,Cortex A53,4.0,MediaTek MT6735M,1.0,Mali-T720 MP2,"5,591"
Intex Aqua Craze 2 ,5.0,,,,,156.0,"Android OS, v6.0 (Marshmallow)",1,5,1,5,8.0,1.0,32,2500,,Cortex A7,4.0,,1.3,Mali-400MP,"5,399"
Intex Aqua Life III ,5.0,,,,,,"Android OS, v5.1 (Lollipop)",1,5,2,0+3,8.0,1.0,32,2000,,,4.0,,1.2,,"5,300"
Intex Aqua Jewels 2 ,5.0,,,,,,"Android OS, v7.0 (Nougat)",1,8,1,5,16.0,2.0,32,2500,SC9832A,Cortex A53,4.0,Spreadtrum,1.3,MALI 400,"5,795"
Intex Cloud Q11 ,5.5,,5.1,2.8,0.3,170.0,"Android OS, v6.0 (Marshmallow)",1,8,1,5,8.0,1.0,32,2800,MT6580,Cortex A53,4.0,MediaTek,1.3,Mali-400MP,"5,200"
Intex Cloud Crystal 2.5D ,5.0,,,,,150.0,"Android OS, v5.1 (Lollipop)",1,8,1,2,16.0,3.0,32,2200,,Cortex A53,4.0,MediaTek MT6735P,1.0,Mali-T720 MP2,"5,180"
Intex Aqua Ring ,5.0,,,,,159.0,"Android OS, v6.0 (Marshmallow)",1,5,1,5,8.0,1.0,32,2450,,,4.0,,1.3,Mali-400MP,"5,100"
Intex Aqua Speed ,4.5,,5.3,2.6,0.3,120.0,"Android OS, v4.4 (KitKat)",1,8,1,5,16.0,2.0,32,1700,,Cortex-A7,4.0,Mediatek MT6582M,1.3,Mali-400MP2,"5,000"
Intex Aqua 5.5 VR ,5.5,,6.05,2.86,0.38,176.0,"Andorid OS, v6.0 (Marshmallow)",1,5,1,5,8.0,1.0,32,2800,MediaTek MT6737,Cortex A53,4.0,,1.2,Mali-T720 MP2,"4,899"
