device_name,display_size (inches),display_prot,height (inches),width (inches),depth (inches),weight (grams),os,b_no_of_camera(s),backcam (megapixels),f_no_of_camera(s),frontcam (megapixels),internal (GB),ram (GB),expandable (GB),battery (mAh),chipset,architecture,cores,proc_make,frequency (MHz),gpu,price (INR)
Micromax Evok Dual Note ,5.5,,6.0,2.9,0.3,,"Android OS, v7.0 (Nougat)",2,13+5,1,5,32.0,3.0,64,3000,MT6750T,Cortex A53,8.0,MediaTek,1.5,Mali-T860 MP2,"9,999"
Micromax X751 ,2.4,,,,,,,1,0.3,2,0+3,,,32,800,,,,,,,869
Micromax X371 ,1.8,,,,,,,1,0.3,0,,,,8,800,,,,,,,785
Micromax Canvas Nitro 4G E455 ,5.0,,,,,,"Android OS, v5.0.2 (Lollipop)",1,13,1,5,16.0,2.0,32,2500,Snapdragon 415,Cortex-A53,8.0,Qualcomm MSM8929,1.4,Adreno 405,"7,399"
Micromax Unite 2 A106 ,4.7,,,,,,"Android OS, v4.4.2 (KitKat)",1,5,1,2,4.0,1.0,32,2000,,Cortex-A7,4.0,,1.3,Mali-400MP2,"6,799"
Micromax Canvas XP 4G ,5.0,,5.6,2.8,0.3,134.0,"Android OS, v5.1 (Lollipop)",1,8,1,2,16.0,3.0,32,2000,MT6735P,Cortex-A53,4.0,Mediatek ,1.0,Mali-T720MP2,"5,300"
Micromax Canvas Selfie 3 ,4.8,,,,,,"Android OS, v5.0 (Lollipop)",1,8,1,8,8.0,1.0,32,2300,,Cortex-A7,4.0,,1.3,Mali-400MP2,"4,390"
Micromax Flash X910 ,2.8,,,,,,,1,0.3,0,,,,8,4000,,,,,,,"1,888"
Micromax X071 ,1.8,,,,,71.0,,1,0.08,0,,,0.03125,8,1000,,,1.0,,,,725
Micromax Canvas Doodle 3 A102 ,6.0,,,,,,"Android OS, v4.2.2 (Jelly Bean)",1,5,2,0+3,4.0,1.0,32,2500,,Cortex-A7,2.0,,1.3,Mali-400,"7,705"
Micromax Evok Note ,5.5,Gorilla Glass ,6.0,2.1,3.0,162.0,"Android OS, v6.0 (Marshmallow)",1,13,1,5,32.0,3.0,128,4000,Mediatek MT6753,Cortex A53,8.0,Mediatek ,1.3,Mali-T720MP3,"8,499"
Micromax Canvas Sliver 5 ,4.8,Corning Gorilla Glass 3,5.6,2.7,0.2,97.0,"Android OS, v5.0.2 (Lollipop)",1,8,1,5,16.0,2.0,0,2000,Snapdragon 410,Cortex-A53,4.0,Qualcomm MSM8916,1.2,Adreno 306,"6,499"
Micromax X1i Power ,2.4,,,,,58.0,,1,0.3,2,0+3,,,8,1750,,,,,,,"1,042"
Micromax Selfie 2 Note ,5.5,Corning Gorilla Glass,,,,,"Android OS, v7.0 (Nougat)",1,13,1,8,32.0,3.0,32,3000,MT6737,Cortex A53,4.0,MediaTek,1.3,ARM Mali T720,"7,499"
Micromax X424 Plus ,1.8,,,,,,,1,0.08,0,,,,8,1750,,,,,,,782
Micromax X377 ,1.8,,,,,,,,,0,,,,,1000,,,,,,,690
Micromax Bharat 1 (2018) ,2.4,,,,,105.0,,1,0.3,2,0+3,4.0,0.5,32,1800,SC9820A,Cortex A7,2.0,Spreadtrum,1.2,Mali-400 MP,"2,199"
Micromax Canvas 1 ,5.0,,5.6,2.8,0.3,150.0,"Android OS, v7.0 (Nougat)",1,8,1,5,16.0,2.0,64,2500,MT6737,Cortex-A53,4.0,Mediatek,1.3,Mali-T720,"5,793"
Micromax Canvas Infinity Life ,5.45,,,,,,"Android OS, 7.1.2 (Nougat)",1,13,1,8,16.0,2.0,128,2500,MT6737,Cortex-A53,4.0,Mediatek,1.4,Mali-T720MP1,"8,300"
Micromax Canvas 6 ,5.5,Corning Gorilla Glass 3,5.6,2.8,0.3,152.0,"Android OS, v5.1 (Lollipop)",1,13,1,8,32.0,3.0,64,3000,Helio X10,Cortex-A53,8.0,Mediatek MT6795,1.3,PowerVR G6200,"5,990"
Micromax Canvas Infinity ,5.7,,5.9,2.8,0.3,160.0,"Android OS, v7.1 (Nougat)",1,13,1,16,32.0,3.0,128,2900,Snapdragon 425,Cortex-A53,4.0,Qualcomm MSM8917,1.4,Adreno 308,"8,203"
Micromax Spark 4G Prime ,5.0,,,,,,"Android OS, v7.0 (Nougat)",1,8,1,5,16.0,2.0,32,2500,MT6737,,4.0,MediaTek,1.1,,"5,299"
Micromax Vdeo 2 ,4.5,,,,,,"Android OS, v6.0 (Marshmallow)",1,5,1,2,8.0,1.0,32,1800,,,4.0,,1.3,,"3,499"
Micromax Bharat 5 Pro ,5.2,,,,,,"Android OS, v7.1.2 (Nougat)",1,13,1,5,32.0,3.0,64,5000,,,4.0,,1.4,,"6,999"
Micromax Canvas 1 (2018) ,5.7,,,,,,"Android OS, v7.0 (Nougat)",1,8,1,5,16.0,2.0,64,3000,MT6737,Cortex-A53,4.0,MediaTek,1.3,Mali-T720,"5,999"
Micromax Canvas Infinity Pro ,5.7,,5.9,2.8,0.3,,"Android OS, v7.1 (Nougat)",1,16,2,20+8,64.0,4.0,128,3000,Snapdragon 430,Cortex A53,8.0,Qualcomm MSM8937,1.4,Adreno 505,"10,999"
Micromax X406 ,1.7,,,,,,,1,0.3,0,,,,8,1800,,,,,,,999
Micromax Spark Vdeo ,4.5,,5.2,2.6,0.3,140.0,"Android OS, v6.0 (Marshmallow)",1,5,1,2,8.0,1.0,32,1800,Snapdragon 210,Cortex-A7,4.0,Qualcomm,1.1,Mali-400 MP,"3,400"
