device_name,display_size (inches),display_prot,height (inches),width (inches),depth (inches),weight (grams),os,b_no_of_camera(s),backcam (megapixels),f_no_of_camera(s),frontcam (megapixels),internal (GB),ram (GB),expandable (GB),battery (mAh),chipset,architecture,cores,proc_make,frequency (MHz),gpu,price (INR)
Gionee S10 Lite ,5.2,,5.8,2.9,0.3,155.0,"Android OS, v7.1 (Nougat)",1,13,1,16,32.0,4.0,128,3100,Snapdragon 427,Cortex A53,4.0,Qualcomm,1.4,,"8,823"
Gionee S6s ,5.5,Corning Gorilla Glass 3,5.9,2.9,0.2,147.0,"Android OS, v6.0 (Marshmallow)",1,13,1,8,32.0,3.0,128,3150,MT6753,Cortex-A53,8.0,Mediatek,1.3,Mali-T720MP3,"9,448"
Gionee S6 Pro ,5.5,,6.0,2.9,0.3,170.0,"Android OS, v6.0.1 (Marshmallow)",1,13,1,8,32.0,4.0,256,3130,Helio P10,Cortex-A53,8.0,Mediatek MT6755,1.8+1.0,Mali-T860MP2,"11,499"
Gionee Elife E7 ,5.5,,5.9,2.9,0.3,150.0,"Android OS, v4.2 (Jelly Bean)",1,16,1,8,16.0,2.0,0,2500,Snapdragon 800,,8.0,Qualcomm MSM8274,2.2+2.5,Adreno 330,"17,099"
Gionee M2 ,5.0,,5.6,2.8,0.4,,"Android OS, v4.2 (Jelly Bean)",1,8,1,2,4.0,1.0,32,4200,,Cortex-A7,4.0,,1.3,Mali-400,"13,999"
Gionee GPad G5 ,5.5,,6.1,3.0,0.3,104.0,"Android OS, v4.4 (KitKat)",1,8,1,2,8.0,1.0,32,2400,,Cortex-A7,6.0,Mediatek MT6591,1.5,Mali-450MP4,"9,500"
Gionee Elife S5.5 ,5.0,,5.7,2.7,0.2,133.0,"Android OS, v4.2 (Jelly Bean)",1,13,1,5,16.0,2.0,0,2300,,Cortex-A7,8.0,,1.7,Mali-450MP4,"19,999"
Gionee CTRL V6L ,5.0,,5.6,2.7,0.2,124.0,"Android OS, v4.4 (KitKat)",1,8,1,5,8.0,1.0,32,1950,Snapdragon 400,Cortex-A7,4.0,Qualcomm ,1.2,Adreno 305,"6,870"
Gionee Pioneer P6 ,5.0,,5.6,2.9,0.3,150.0,"Android OS, v4.4.2 (KitKat)",1,5,1,2,8.0,1.0,32,1950,,Cortex-A7,4.0,,1.3,ARM Mali-400 MP,"7,199"
Gionee Pioneer P4 ,4.5,,5.3,2.6,0.3,88.2,"Android OS, v4.2 (Jelly Bean)",1,5,1,2,8.0,1.0,32,1800,,Cortex-A7,4.0,,1.3, Mali-400MP2,"7,494"
Gionee Pioneer P3S ,4.5,,5.2,2.6,0.4,161.0,"Android OS, v5.1 (Lollipop)",1,5,2,0+3,16.0,1.0,32,2000,,Cortex-A7,4.0,,1.3,Mali-400MP2,"4,490"
Gionee S96 ,2.6,,5.0,2.0,0.2,81.0,,1,2,0,,0.125,0.0625,32,700,,,,,,,"2,628"
Gionee Marathon M3 ,5.0,,5.6,2.8,0.4,180.3,"Android OS, v4.4.2 (KitKat)",1,8,1,2,8.0,1.0,256,5000,,,4.0,,1.3,Mali-450,"12,999"
