device_name,display_size (inches),display_prot,height (inches),width (inches),depth (inches),weight (grams),os,b_no_of_camera(s),backcam (megapixels),f_no_of_camera(s),frontcam (megapixels),internal (GB),ram (GB),expandable (GB),battery (mAh),chipset,architecture,cores,proc_make,frequency (MHz),gpu,price (INR)
Karbonn A6 ,4.0,,5.0,2.5,0.4,114.0,"Android OS, v4.0 (Ice Cream Sandwich)",1,5,2,0+3,0.1015625,0.5,32,1450,,,,,1.0,,"4,700"
Karbonn Titanium Delight S22 ,4.5,,,,,,"Android OS, v4.4 (KitKat)",1,5,2,0+3,4.0,0.5,32,1800,,,4.0,,1.2,,"4,590"
Karbonn Aura 4G ,5.0,,,,,,"Android OS, v6.0 (Marshmallow)",1,8,1,5,8.0,1.0,32,2150,,,4.0,,1.3,,"4,500"
Karbonn Titanium Wind W4 ,4.0,,4.9,2.5,0.4,,Microsoft Windows 8.1,1,5,2,0+3,4.0,0.5,32,1950,,,4.0,,1.2,,"4,499"
Karbonn Titanium Desire S30 ,4.5,,,,,122.0,"Android OS, v4.4 (KitKat)",1,8,2,3+2,8.0,0.5,32,1800,,,4.0,,1.2,,"4,358"
Karbonn Titanium S3 8GB ,5.0,,,,,,"Android OS, v4.4 (KitKat)",1,8,1,2,8.0,1.0,32,1800,,,4.0,,1.3,,"4,299"
Karbonn K94 ,2.8,,,,,,,1,1.3,2,0+3,,,8,1400,,,,,,,"3,592"
Karbonn Titanium S15 ,4.0,,,,,116.4,"Android OS, v4.4 (KitKat)",1,3.2,2,0+3,4.0,0.5,32,1500,,,4.0,,1.2,,"3,400"
Karbonn Alfa A99 ,4.0,,,,,,"Android OS, v4.4 (Kitkat)",1,3.2,2,1+3,4.0,0.5,32,1400,,,2.0,,1.2,,"3,349"
Karbonn Fashion Eye ,5.0,,,,,,"Android OS, v5.1 (Lollipop)",1,8,2,3+2,8.0,1.0,32,2000,,Cortex-A7,4.0,,1.3,,"3,150"
Karbonn Titanium S15 Ultra ,4.0,,,,,,"Android OS, v4.4 (Kitkat)",1,3.2,2,0+3,4.0,0.5,32,1300,,,2.0,,1.3,,"3,099"
Karbonn Alfa A90 ,4.0,,,,,,"Android OS, v4.4 (KitKat)",1,2,2,1+3,4.0,0.5,32,1400,,,1.0,,1.0,,"3,000"
