device_name,display_size (inches),display_prot,height (inches),width (inches),depth (inches),weight (grams),os,b_no_of_camera(s),backcam (megapixels),f_no_of_camera(s),frontcam (megapixels),internal (GB),ram (GB),expandable (GB),battery (mAh),chipset,architecture,cores,proc_make,frequency (MHz),gpu,price (INR)
Samsung Galaxy S8 Plus ,6.2,Corning Gorilla Glass 5,6.2,2.8,0.3,173.0,"Android OS, 7.0 (Nougat)",1,12,1,8,64.0,4.0,256,3500,Exynos 8895,Cortex-A53,8.0,Samsung,2.3+1.7,Mali-G71 MP20,"47,999"
Samsung Galaxy J2 (2017) ,4.7,,,,,,"Android OS, v7.0 (Nougat)",1,5,1,2,8.0,1.0,64,2000,Exynos,Cortex A53,4.0,Samsung,1.3,,"6,185"
Samsung Galaxy J7 Duo ,5.5,,6.0,3.0,0.3,174.0,"Android OS, v8.0 (Oreo)",2,13+5,1,8,32.0,4.0,256,3000,Exynos 7870,Cortex-A53,8.0,Samsung,1.6,Mali-T830 MP1,"14,650"
Samsung Guru Music 2 ,2.0,,4.4,1.8,0.5,75.0,,0,,0,,0.00390625,,16,800,,,,,,,"1,625"
Samsung Galaxy S6 ,5.1,Corning Gorilla Glass 4,5.6,2.7,0.2,138.0,"Android OS, v5.0.2 (Lollipop)",1,16,1,5,32.0,3.0,0,2550,Exynos 7420,Cortex-A53,8.0,Samsung,1.5+2.1,Mali-T760MP8,"23,499"
Samsung Galaxy Note 2 ,5.5,Gorilla Glass 2,5.9,3.1,0.3,183.0,"Android OS, v4.3 (Jelly Bean)",1,8,2,1+9,16.0,2.0,64,3100,Exynos 4412,Cortex-A9,4.0,Samsung,1.6,Mali-400MP4,"24,927"
Samsung Galaxy J Max ,7.0,,7.3,4.2,0.3,,"Android OS, v5.1 (Lollipop)",1,8,1,2,8.0,1.5,256,4000,,Cortex-A7,4.0,Spreadtrum SC8830,1.5,Mali-400MP2,"11,900"
Samsung Metro B350E ,2.4,,4.6,2.0,0.4,91.0,,1,2,0,,,0.03125,16,1200,,,1.0,,312,,"2,780"
Samsung Galaxy Note 5 64GB ,5.7,,6.0,3.0,0.3,171.0,"Android OS, v5.1.1 (Lollipop)",1,16,1,5,64.0,4.0,0,3000,,Cortex-A53,8.0,,1.5+2.1,Mali-T760MP8,"55,490"
Samsung Galaxy E5 ,5.0,,5.5,2.7,0.2,,"Android OS, v4.4.4 (KitKat)",1,8,1,5,16.0,1.5,64,2400,,,4.0,,1.2,,"9,999"
Samsung Galaxy J2 Ace ,5.0,,5.8,2.8,0.3,160.0,"Android OS, v6.0 (Marshmallow)",1,8,1,5,8.0,1.5,256,2600,MT6737,Cortex-A7,4.0,MediaTek ,1.4,Mali-T720MP2,"6,468"
