device_name,display_size (inches),display_prot,height (inches),width (inches),depth (inches),weight (grams),os,b_no_of_camera(s),backcam (megapixels),f_no_of_camera(s),frontcam (megapixels),internal (GB),ram (GB),expandable (GB),battery (mAh),chipset,architecture,cores,proc_make,frequency (MHz),gpu,price (INR)
HTC Desire 816G Dual SIM ,5.5,,6.1,3.1,0.3,158.0,"Android OS, v4.4.2 (KitKat)",1,13,1,5,8.0,1.0,32,2600,,,4.0,,1.3,Adreno 305,"7,999"
HTC Desire 626 ,5.0,,5.7,2.7,0.3,140.0,"Android OS, v4.4.4 (KitKat)",1,13,1,5,16.0,2.0,32,2000,,Cortex-A53,8.0,,1.7,Mali-T760MP2,"7,999"
HTC Desire 310 ,4.5,,5.2,2.6,0.4,140.0,"Android OS, v4.2 (Jelly Bean)",1,5,2,0+3,4.0,0.5,32,2000,,Cortex-A7,4.0,Mediatek MT6582M,1.3,Mali-400MP2,"6,500"
HTC One E8 Dual SIM ,5.0,,5.7,2.7,0.3,145.0,"Android OS, v4.4 (KitKat)",1,13,1,5,16.0,2.0,128,2600,Snapdragon 801,Krait 400,4.0,Qualcomm MSM8975AC ,2.5,Adreno 330,"38,500"
HTC One Dual SIM 802D (CDMA + GSM) ,4.7,,5.4,2.7,0.4,156.0,"Android OS, v4.1 (Jelly Bean)",1,4,2,2+1,32.0,2.0,64,2300,Snapdragon 600,Krait 300,4.0,Qualcomm APQ8064T ,1.7,Adreno 320,"32,774"
HTC Desire 825 ,5.5,,6.1,3.0,0.2,155.0,"Android OS, v6.0 (Marshmallow)",1,13,1,5,16.0,2.0,128,2700,Snapdragon 400,Cortex-A7,4.0,Qualcomm,1.6,Adreno 305,"9,990"
HTC 10 Evo ,5.5,,6.0,3.0,0.3,174.0,"Android OS, v7.0 (Nougat)",1,16,1,8,32.0,3.0,256,3200,Snapdragon 810,Cortex-A53,8.0,Qualcomm MSM8994,1.5+2.0,Adreno 430,"24,220"
HTC Desire 210 ,4.0,,4.9,2.5,0.4,130.0,"Android OS, v4.2 (Jelly Bean)",1,5,2,0+3,4.0,0.5,32,1300,,Cortex-A7,2.0,Mediatek MT6572M,1.0,Mali-400,"6,299"
HTC One ME ,5.2,,5.9,2.8,0.3,155.0,"Android OS, v5.0.2 (Lollipop)",1,20,1,4,32.0,3.0,200,2840,Helio X10,Cortex-A53,8.0,MediaTek,2.2,PowerVR G6200,"16,199"
HTC Desire 820Q ,5.5,,6.2,3.1,0.3,155.0,"Android OS, v4.4 (KitKat)",1,13,1,8,16.0,1.0,128,2600,Snapdragon 410,Cortex-A53,4.0,Qualcomm MSM8916 ,1.2,Adreno 306,"10,999"
HTC Desire 630 ,5.0,,5.7,2.7,0.3,140.0,"Android OS, v6.0 (Marshmallow)",1,13,1,5,16.0,2.0,256,2200,Snapdragon 400,Cortex-A7,4.0,Qualcomm,1.6,Adreno 305,"10,499"
HTC Desire 820G Plus ,5.5,,6.2,3.1,0.3,154.0,Android v4.4 (KitKat),1,13,1,8,16.0,1.0,32,2600,MT6592,Cortex-A7,8.0,Mediatek,1.7,Mali-450MP4,"10,490"
HTC One E9s dual SIM ,5.5,,6.2,3.1,0.3,165.0,"Android OS, v5.0 (Lollipop)",1,13,1,4,16.0,2.0,128,2600,,MT6752M,8.0,,1.5,Mali-T760MP2,"8,899"
