device_name,display_size (inches),display_prot,height (inches),width (inches),depth (inches),weight (grams),os,b_no_of_camera(s),backcam (megapixels),f_no_of_camera(s),frontcam (megapixels),internal (GB),ram (GB),expandable (GB),battery (mAh),chipset,architecture,cores,proc_make,frequency (MHz),gpu,price (INR)
Huawei Honor 7C 64GB ,5.99,,6.2,3.0,0.3,164.0,"Android OS, v8.0 (Oreo)",2,13+2,1,8,64.0,4.0,256,3000,Snapdragon 450,Cortex A53,8.0,Qualcomm,1.8,Adreno 506,"11,999"
Huawei Honor 7x ,5.93,,6.1,2.9,0.3,165.0,"Android OS, v7.0 (Nougat)",2,16+2,1,8,64.0,4.0,256,3340,Kirin 659,Cortex A53,8.0,HiSilicon,2.3+1.7,Mali-T830 MP2,"12,999"
Huawei Honor 7X 32GB ,5.93,,6.1,2.9,0.3,165.0,"Android OS, v7.0 (Nougat)",2,16+2,1,8,32.0,4.0,256,3340,Kirin 659,Cortex A53,8.0,HiSilicon,2.3+1.7,Mali-T830 MP2,"10,999"
Huawei Honor 7C ,5.99,,6.2,3.0,0.3,164.0,"Android OS, v8.0 (Oreo)",2,13+2,1,8,32.0,3.0,256,3000,Snapdragon 450,Cortex A53,8.0,Qualcomm,1.8,Adreno 506,"9,999"
Huawei Honor 8 Pro ,5.7,Corning Gorilla Glass 3,6.1,3.0,0.2,184.0,"Android OS, v7.0 (Nougat)",2,12+12,1,8,128.0,6.0,256,4000,Kirin 960,Cortex-A73,8.0,HiSilicon,2.4+1.8,Mali-G71 MP8,"22,000"
Huawei Ascend P7 ,5.0,,5.5,2.7,0.2,124.0,"Android OS, v4.4 (KitKat)",1,13,1,8,16.0,2.0,64,2500,Kirin 910T,Cortex-A9,4.0,HiSilicon ,1.8,Mali-450MP4,"20,950"
Huawei Honor 4C ,5.0,,5.6,2.8,0.3,162.0,"Android OS, v4.4.2 (KitKat)",1,13,1,5,8.0,2.0,32,2550,,Cortex-A53,8.0,,1.2,Mali-450MP4,"10,500"
Huawei Honor 6 Plus ,5.5,,5.9,2.9,0.3,165.0,"Android OS, v4.4 (KitKat)",1,8,1,8,32.0,3.0,256,3600,Kirin 925,Cortex-A15,8.0,HiSilicon ,1.8+1.3,Mali-T628 MP4,"14,999"
Huawei Honor Holly 4 Plus ,5.5,,,,,,"Android OS, v7.0 (Nougat)",1,12,1,8,32.0,3.0,128,4100,Snapdragon 435,Cortex,8.0,Qualcomm,1.4,,"8,999"
Huawei Nexus 6P 64GB ,5.7,,6.2,3.0,0.2,178.0,"Android OS, v6.0 (Marshmallow)",1,12,1,8,64.0,3.0,0,3450,Snapdragon 810,Cortex-A53,8.0,Qualcomm MSM8994,1.55+2.0,Adreno 430,"42,990"
Huawei Honor 8 Smart ,5.2,,5.7,2.8,0.3,153.0,"Android OS, v6.0 (Marshmallow)",1,12,1,8,16.0,2.0,128,3000,Kirin 950,Cortex-A72,8.0,HiSilicon,2.3+1.8,Mali-T880 MP4,"11,699"
Huawei Nexus 6P ,5.7,,6.2,3.0,0.2,178.0,"Android OS, v6.0 (Marshmallow)",1,12.3,1,8,32.0,3.0,0,3450,Snapdragon 810,Cortex-A53,8.0,Qualcomm MSM8994,1.55+2.0,Adreno 430,"39,990"
Huawei Honor 7 ,5.2,,5.6,2.8,0.3,157.0,"Android OS, v5.0 (Lollipop)",1,20,1,8,16.0,3.0,128,3100,,Cortex-A53,8.0,,2.2+1.5,Mali-T628 MP4,"16,999"
